feature_path,label,label_idx
C:\SoundModel\data\gtzan\features\classical_classical.00050_chunk0.npy,classical,1
C:\SoundModel\data\gtzan\features\jazz_jazz.00067_chunk0.npy,jazz,5
C:\SoundModel\data\gtzan\features\country_country.00040_chunk1.npy,country,2
C:\SoundModel\data\gtzan\features\blues_blues.00073_chunk2.npy,blues,0
C:\SoundModel\data\gtzan\features\reggae_reggae.00081_chunk2.npy,reggae,8
C:\SoundModel\data\gtzan\features\disco_disco.00052_chunk1.npy,disco,3
C:\SoundModel\data\gtzan\features\pop_pop.00067_chunk1.npy,pop,7
C:\SoundModel\data\gtzan\features\classical_classical.00058_chunk1.npy,classical,1
C:\SoundModel\data\gtzan\features\hiphop_hiphop.00037_chunk2.npy,hiphop,4
C:\SoundModel\data\gtzan\features\country_country.00045_chunk0.npy,country,2
C:\SoundModel\data\gtzan\features\country_country.00052_chunk1.npy,country,2
C:\SoundModel\data\gtzan\features\classical_classical.00098_chunk0.npy,classical,1
C:\SoundModel\data\gtzan\features\hiphop_hiphop.00092_chunk1.npy,hiphop,4
C:\SoundModel\data\gtzan\features\hiphop_hiphop.00039_chunk2.npy,hiphop,4
C:\SoundModel\data\gtzan\features\rock_rock.00021_chunk1.npy,rock,9
C:\SoundModel\data\gtzan\features\rock_rock.00031_chunk2.npy,rock,9
C:\SoundModel\data\gtzan\features\disco_disco.00074_chunk1.npy,disco,3
C:\SoundModel\data\gtzan\features\metal_metal.00069_chunk0.npy,metal,6
C:\SoundModel\data\gtzan\features\disco_disco.00050_chunk0.npy,disco,3
C:\SoundModel\data\gtzan\features\disco_disco.00040_chunk1.npy,disco,3
C:\SoundModel\data\gtzan\features\country_country.00054_chunk0.npy,country,2
C:\SoundModel\data\gtzan\features\reggae_reggae.00079_chunk1.npy,reggae,8
C:\SoundModel\data\gtzan\features\rock_rock.00097_chunk1.npy,rock,9
C:\SoundModel\data\gtzan\features\jazz_jazz.00074_chunk0.npy,jazz,5
C:\SoundModel\data\gtzan\features\blues_blues.00053_chunk1.npy,blues,0
C:\SoundModel\data\gtzan\features\reggae_reggae.00092_chunk0.npy,reggae,8
C:\SoundModel\data\gtzan\features\hiphop_hiphop.00000_chunk0.npy,hiphop,4
C:\SoundModel\data\gtzan\features\metal_metal.00016_chunk2.npy,metal,6
C:\SoundModel\data\gtzan\features\country_country.00041_chunk2.npy,country,2
C:\SoundModel\data\gtzan\features\disco_disco.00099_chunk1.npy,disco,3
C:\SoundModel\data\gtzan\features\rock_rock.00037_chunk2.npy,rock,9
C:\SoundModel\data\gtzan\features\jazz_jazz.00070_chunk2.npy,jazz,5
C:\SoundModel\data\gtzan\features\blues_blues.00018_chunk1.npy,blues,0
C:\SoundModel\data\gtzan\features\blues_blues.00006_chunk2.npy,blues,0
C:\SoundModel\data\gtzan\features\disco_disco.00090_chunk1.npy,disco,3
C:\SoundModel\data\gtzan\features\jazz_jazz.00043_chunk0.npy,jazz,5
C:\SoundModel\data\gtzan\features\classical_classical.00044_chunk2.npy,classical,1
C:\SoundModel\data\gtzan\features\disco_disco.00080_chunk0.npy,disco,3
C:\SoundModel\data\gtzan\features\country_country.00073_chunk1.npy,country,2
C:\SoundModel\data\gtzan\features\pop_pop.00012_chunk0.npy,pop,7
C:\SoundModel\data\gtzan\features\hiphop_hiphop.00046_chunk0.npy,hiphop,4
C:\SoundModel\data\gtzan\features\classical_classical.00027_chunk0.npy,classical,1
C:\SoundModel\data\gtzan\features\hiphop_hiphop.00061_chunk0.npy,hiphop,4
C:\SoundModel\data\gtzan\features\jazz_jazz.00057_chunk0.npy,jazz,5
C:\SoundModel\data\gtzan\features\reggae_reggae.00012_chunk2.npy,reggae,8
C:\SoundModel\data\gtzan\features\reggae_reggae.00046_chunk0.npy,reggae,8
C:\SoundModel\data\gtzan\features\pop_pop.00027_chunk2.npy,pop,7
C:\SoundModel\data\gtzan\features\reggae_reggae.00040_chunk0.npy,reggae,8
C:\SoundModel\data\gtzan\features\country_country.00010_chunk0.npy,country,2
C:\SoundModel\data\gtzan\features\rock_rock.00053_chunk0.npy,rock,9
C:\SoundModel\data\gtzan\features\metal_metal.00021_chunk2.npy,metal,6
C:\SoundModel\data\gtzan\features\hiphop_hiphop.00093_chunk1.npy,hiphop,4
C:\SoundModel\data\gtzan\features\disco_disco.00031_chunk0.npy,disco,3
C:\SoundModel\data\gtzan\features\jazz_jazz.00064_chunk2.npy,jazz,5
C:\SoundModel\data\gtzan\features\pop_pop.00040_chunk1.npy,pop,7
C:\SoundModel\data\gtzan\features\pop_pop.00049_chunk0.npy,pop,7
C:\SoundModel\data\gtzan\features\disco_disco.00004_chunk2.npy,disco,3
C:\SoundModel\data\gtzan\features\blues_blues.00072_chunk0.npy,blues,0
C:\SoundModel\data\gtzan\features\blues_blues.00039_chunk1.npy,blues,0
C:\SoundModel\data\gtzan\features\jazz_jazz.00021_chunk0.npy,jazz,5
C:\SoundModel\data\gtzan\features\metal_metal.00000_chunk2.npy,metal,6
C:\SoundModel\data\gtzan\features\country_country.00047_chunk1.npy,country,2
C:\SoundModel\data\gtzan\features\rock_rock.00099_chunk2.npy,rock,9
C:\SoundModel\data\gtzan\features\hiphop_hiphop.00000_chunk2.npy,hiphop,4
C:\SoundModel\data\gtzan\features\reggae_reggae.00024_chunk2.npy,reggae,8
C:\SoundModel\data\gtzan\features\reggae_reggae.00033_chunk2.npy,reggae,8
C:\SoundModel\data\gtzan\features\classical_classical.00094_chunk1.npy,classical,1
C:\SoundModel\data\gtzan\features\blues_blues.00040_chunk0.npy,blues,0
C:\SoundModel\data\gtzan\features\metal_metal.00001_chunk1.npy,metal,6
C:\SoundModel\data\gtzan\features\reggae_reggae.00019_chunk0.npy,reggae,8
C:\SoundModel\data\gtzan\features\jazz_jazz.00065_chunk1.npy,jazz,5
C:\SoundModel\data\gtzan\features\jazz_jazz.00004_chunk1.npy,jazz,5
C:\SoundModel\data\gtzan\features\classical_classical.00027_chunk1.npy,classical,1
C:\SoundModel\data\gtzan\features\disco_disco.00005_chunk0.npy,disco,3
C:\SoundModel\data\gtzan\features\rock_rock.00090_chunk2.npy,rock,9
C:\SoundModel\data\gtzan\features\blues_blues.00052_chunk1.npy,blues,0
C:\SoundModel\data\gtzan\features\reggae_reggae.00004_chunk0.npy,reggae,8
C:\SoundModel\data\gtzan\features\country_country.00023_chunk0.npy,country,2
C:\SoundModel\data\gtzan\features\reggae_reggae.00053_chunk2.npy,reggae,8
C:\SoundModel\data\gtzan\features\classical_classical.00028_chunk2.npy,classical,1
C:\SoundModel\data\gtzan\features\hiphop_hiphop.00011_chunk1.npy,hiphop,4
C:\SoundModel\data\gtzan\features\rock_rock.00001_chunk2.npy,rock,9
C:\SoundModel\data\gtzan\features\hiphop_hiphop.00065_chunk0.npy,hiphop,4
C:\SoundModel\data\gtzan\features\hiphop_hiphop.00052_chunk1.npy,hiphop,4
C:\SoundModel\data\gtzan\features\metal_metal.00098_chunk0.npy,metal,6
C:\SoundModel\data\gtzan\features\classical_classical.00071_chunk2.npy,classical,1
C:\SoundModel\data\gtzan\features\blues_blues.00015_chunk2.npy,blues,0
C:\SoundModel\data\gtzan\features\blues_blues.00032_chunk2.npy,blues,0
C:\SoundModel\data\gtzan\features\hiphop_hiphop.00062_chunk2.npy,hiphop,4
C:\SoundModel\data\gtzan\features\jazz_jazz.00009_chunk0.npy,jazz,5
C:\SoundModel\data\gtzan\features\country_country.00024_chunk2.npy,country,2
C:\SoundModel\data\gtzan\features\disco_disco.00002_chunk2.npy,disco,3
C:\SoundModel\data\gtzan\features\blues_blues.00021_chunk1.npy,blues,0
C:\SoundModel\data\gtzan\features\hiphop_hiphop.00078_chunk1.npy,hiphop,4
C:\SoundModel\data\gtzan\features\reggae_reggae.00032_chunk0.npy,reggae,8
C:\SoundModel\data\gtzan\features\metal_metal.00038_chunk2.npy,metal,6
C:\SoundModel\data\gtzan\features\metal_metal.00044_chunk0.npy,metal,6
C:\SoundModel\data\gtzan\features\classical_classical.00039_chunk1.npy,classical,1
C:\SoundModel\data\gtzan\features\hiphop_hiphop.00097_chunk0.npy,hiphop,4
C:\SoundModel\data\gtzan\features\rock_rock.00012_chunk2.npy,rock,9
C:\SoundModel\data\gtzan\features\jazz_jazz.00000_chunk2.npy,jazz,5
C:\SoundModel\data\gtzan\features\metal_metal.00042_chunk1.npy,metal,6
C:\SoundModel\data\gtzan\features\hiphop_hiphop.00034_chunk1.npy,hiphop,4
C:\SoundModel\data\gtzan\features\country_country.00057_chunk2.npy,country,2
C:\SoundModel\data\gtzan\features\blues_blues.00097_chunk1.npy,blues,0
C:\SoundModel\data\gtzan\features\pop_pop.00036_chunk1.npy,pop,7
C:\SoundModel\data\gtzan\features\classical_classical.00036_chunk0.npy,classical,1
C:\SoundModel\data\gtzan\features\jazz_jazz.00077_chunk1.npy,jazz,5
C:\SoundModel\data\gtzan\features\reggae_reggae.00015_chunk1.npy,reggae,8
C:\SoundModel\data\gtzan\features\metal_metal.00091_chunk2.npy,metal,6
C:\SoundModel\data\gtzan\features\rock_rock.00013_chunk1.npy,rock,9
C:\SoundModel\data\gtzan\features\classical_classical.00003_chunk2.npy,classical,1
C:\SoundModel\data\gtzan\features\reggae_reggae.00060_chunk0.npy,reggae,8
C:\SoundModel\data\gtzan\features\country_country.00013_chunk1.npy,country,2
C:\SoundModel\data\gtzan\features\jazz_jazz.00088_chunk2.npy,jazz,5
C:\SoundModel\data\gtzan\features\jazz_jazz.00039_chunk2.npy,jazz,5
C:\SoundModel\data\gtzan\features\blues_blues.00012_chunk0.npy,blues,0
C:\SoundModel\data\gtzan\features\blues_blues.00045_chunk2.npy,blues,0
C:\SoundModel\data\gtzan\features\disco_disco.00048_chunk2.npy,disco,3
C:\SoundModel\data\gtzan\features\disco_disco.00002_chunk1.npy,disco,3
C:\SoundModel\data\gtzan\features\hiphop_hiphop.00085_chunk2.npy,hiphop,4
C:\SoundModel\data\gtzan\features\jazz_jazz.00012_chunk1.npy,jazz,5
C:\SoundModel\data\gtzan\features\country_country.00036_chunk1.npy,country,2
C:\SoundModel\data\gtzan\features\hiphop_hiphop.00090_chunk1.npy,hiphop,4
C:\SoundModel\data\gtzan\features\country_country.00063_chunk2.npy,country,2
C:\SoundModel\data\gtzan\features\classical_classical.00081_chunk0.npy,classical,1
C:\SoundModel\data\gtzan\features\hiphop_hiphop.00038_chunk0.npy,hiphop,4
C:\SoundModel\data\gtzan\features\jazz_jazz.00088_chunk1.npy,jazz,5
C:\SoundModel\data\gtzan\features\reggae_reggae.00004_chunk1.npy,reggae,8
C:\SoundModel\data\gtzan\features\country_country.00030_chunk2.npy,country,2
C:\SoundModel\data\gtzan\features\metal_metal.00067_chunk1.npy,metal,6
C:\SoundModel\data\gtzan\features\reggae_reggae.00049_chunk1.npy,reggae,8
C:\SoundModel\data\gtzan\features\jazz_jazz.00032_chunk1.npy,jazz,5
C:\SoundModel\data\gtzan\features\metal_metal.00018_chunk1.npy,metal,6
C:\SoundModel\data\gtzan\features\disco_disco.00039_chunk1.npy,disco,3
C:\SoundModel\data\gtzan\features\country_country.00060_chunk1.npy,country,2
C:\SoundModel\data\gtzan\features\disco_disco.00089_chunk2.npy,disco,3
C:\SoundModel\data\gtzan\features\reggae_reggae.00049_chunk2.npy,reggae,8
C:\SoundModel\data\gtzan\features\pop_pop.00070_chunk2.npy,pop,7
C:\SoundModel\data\gtzan\features\disco_disco.00086_chunk1.npy,disco,3
C:\SoundModel\data\gtzan\features\rock_rock.00048_chunk2.npy,rock,9
C:\SoundModel\data\gtzan\features\blues_blues.00022_chunk0.npy,blues,0
C:\SoundModel\data\gtzan\features\jazz_jazz.00041_chunk0.npy,jazz,5
C:\SoundModel\data\gtzan\features\jazz_jazz.00014_chunk1.npy,jazz,5
C:\SoundModel\data\gtzan\features\rock_rock.00024_chunk2.npy,rock,9
C:\SoundModel\data\gtzan\features\rock_rock.00018_chunk2.npy,rock,9
C:\SoundModel\data\gtzan\features\classical_classical.00023_chunk1.npy,classical,1
C:\SoundModel\data\gtzan\features\blues_blues.00072_chunk1.npy,blues,0
C:\SoundModel\data\gtzan\features\disco_disco.00018_chunk0.npy,disco,3
C:\SoundModel\data\gtzan\features\classical_classical.00053_chunk2.npy,classical,1
C:\SoundModel\data\gtzan\features\rock_rock.00043_chunk0.npy,rock,9
C:\SoundModel\data\gtzan\features\reggae_reggae.00051_chunk1.npy,reggae,8
C:\SoundModel\data\gtzan\features\rock_rock.00014_chunk2.npy,rock,9
C:\SoundModel\data\gtzan\features\country_country.00050_chunk2.npy,country,2
C:\SoundModel\data\gtzan\features\pop_pop.00049_chunk1.npy,pop,7
C:\SoundModel\data\gtzan\features\pop_pop.00086_chunk1.npy,pop,7
C:\SoundModel\data\gtzan\features\country_country.00085_chunk2.npy,country,2
C:\SoundModel\data\gtzan\features\hiphop_hiphop.00053_chunk2.npy,hiphop,4
C:\SoundModel\data\gtzan\features\reggae_reggae.00009_chunk2.npy,reggae,8
C:\SoundModel\data\gtzan\features\classical_classical.00014_chunk2.npy,classical,1
C:\SoundModel\data\gtzan\features\blues_blues.00068_chunk1.npy,blues,0
C:\SoundModel\data\gtzan\features\hiphop_hiphop.00045_chunk0.npy,hiphop,4
C:\SoundModel\data\gtzan\features\rock_rock.00045_chunk2.npy,rock,9
C:\SoundModel\data\gtzan\features\disco_disco.00054_chunk0.npy,disco,3
C:\SoundModel\data\gtzan\features\blues_blues.00070_chunk0.npy,blues,0
C:\SoundModel\data\gtzan\features\metal_metal.00099_chunk2.npy,metal,6
C:\SoundModel\data\gtzan\features\jazz_jazz.00037_chunk2.npy,jazz,5
C:\SoundModel\data\gtzan\features\reggae_reggae.00043_chunk2.npy,reggae,8
C:\SoundModel\data\gtzan\features\classical_classical.00066_chunk2.npy,classical,1
C:\SoundModel\data\gtzan\features\blues_blues.00020_chunk0.npy,blues,0
C:\SoundModel\data\gtzan\features\reggae_reggae.00064_chunk0.npy,reggae,8
C:\SoundModel\data\gtzan\features\jazz_jazz.00001_chunk0.npy,jazz,5
C:\SoundModel\data\gtzan\features\blues_blues.00029_chunk1.npy,blues,0
C:\SoundModel\data\gtzan\features\country_country.00062_chunk1.npy,country,2
C:\SoundModel\data\gtzan\features\classical_classical.00055_chunk0.npy,classical,1
C:\SoundModel\data\gtzan\features\classical_classical.00063_chunk1.npy,classical,1
C:\SoundModel\data\gtzan\features\reggae_reggae.00037_chunk1.npy,reggae,8
C:\SoundModel\data\gtzan\features\metal_metal.00063_chunk1.npy,metal,6
C:\SoundModel\data\gtzan\features\blues_blues.00098_chunk2.npy,blues,0
C:\SoundModel\data\gtzan\features\hiphop_hiphop.00002_chunk2.npy,hiphop,4
C:\SoundModel\data\gtzan\features\hiphop_hiphop.00019_chunk1.npy,hiphop,4
C:\SoundModel\data\gtzan\features\country_country.00052_chunk2.npy,country,2
C:\SoundModel\data\gtzan\features\pop_pop.00002_chunk1.npy,pop,7
C:\SoundModel\data\gtzan\features\rock_rock.00000_chunk1.npy,rock,9
C:\SoundModel\data\gtzan\features\metal_metal.00040_chunk1.npy,metal,6
C:\SoundModel\data\gtzan\features\metal_metal.00059_chunk2.npy,metal,6
C:\SoundModel\data\gtzan\features\metal_metal.00063_chunk0.npy,metal,6
C:\SoundModel\data\gtzan\features\disco_disco.00058_chunk0.npy,disco,3
C:\SoundModel\data\gtzan\features\disco_disco.00012_chunk0.npy,disco,3
C:\SoundModel\data\gtzan\features\pop_pop.00094_chunk1.npy,pop,7
C:\SoundModel\data\gtzan\features\jazz_jazz.00089_chunk2.npy,jazz,5
C:\SoundModel\data\gtzan\features\metal_metal.00071_chunk1.npy,metal,6
C:\SoundModel\data\gtzan\features\disco_disco.00062_chunk2.npy,disco,3
C:\SoundModel\data\gtzan\features\jazz_jazz.00078_chunk0.npy,jazz,5
C:\SoundModel\data\gtzan\features\disco_disco.00061_chunk2.npy,disco,3
C:\SoundModel\data\gtzan\features\blues_blues.00094_chunk1.npy,blues,0
C:\SoundModel\data\gtzan\features\disco_disco.00003_chunk1.npy,disco,3
C:\SoundModel\data\gtzan\features\pop_pop.00041_chunk1.npy,pop,7
C:\SoundModel\data\gtzan\features\rock_rock.00006_chunk1.npy,rock,9
C:\SoundModel\data\gtzan\features\pop_pop.00085_chunk1.npy,pop,7
C:\SoundModel\data\gtzan\features\metal_metal.00003_chunk0.npy,metal,6
C:\SoundModel\data\gtzan\features\metal_metal.00027_chunk0.npy,metal,6
C:\SoundModel\data\gtzan\features\disco_disco.00038_chunk2.npy,disco,3
C:\SoundModel\data\gtzan\features\reggae_reggae.00035_chunk1.npy,reggae,8
C:\SoundModel\data\gtzan\features\blues_blues.00084_chunk2.npy,blues,0
C:\SoundModel\data\gtzan\features\metal_metal.00049_chunk2.npy,metal,6
C:\SoundModel\data\gtzan\features\blues_blues.00017_chunk2.npy,blues,0
C:\SoundModel\data\gtzan\features\rock_rock.00062_chunk1.npy,rock,9
C:\SoundModel\data\gtzan\features\disco_disco.00047_chunk1.npy,disco,3
C:\SoundModel\data\gtzan\features\disco_disco.00093_chunk2.npy,disco,3
C:\SoundModel\data\gtzan\features\country_country.00070_chunk0.npy,country,2
C:\SoundModel\data\gtzan\features\classical_classical.00070_chunk2.npy,classical,1
C:\SoundModel\data\gtzan\features\jazz_jazz.00029_chunk2.npy,jazz,5
C:\SoundModel\data\gtzan\features\pop_pop.00075_chunk0.npy,pop,7
C:\SoundModel\data\gtzan\features\country_country.00029_chunk1.npy,country,2
C:\SoundModel\data\gtzan\features\country_country.00053_chunk1.npy,country,2
C:\SoundModel\data\gtzan\features\country_country.00089_chunk0.npy,country,2
C:\SoundModel\data\gtzan\features\country_country.00001_chunk2.npy,country,2
C:\SoundModel\data\gtzan\features\hiphop_hiphop.00096_chunk1.npy,hiphop,4
C:\SoundModel\data\gtzan\features\disco_disco.00026_chunk1.npy,disco,3
